word or phrase,translation
亜細亜,Asia
アジア人,Asian (person)
アジト,"hideout, secret base of operations, safe house"
ＡＳＣＩＩ,"American Standard Code for Information Interchange, ASCII"
アスパラガス,asparagus
アスファルト,asphalt
アスベスト,asbestos
アスリート,athlete
アスレチック,"athletics, sports, adventure course, (outdoor) obstacle course"
アセスメント,assessment
アタック,"attack, assault, attempt, try"
アダプター,adapter
アダルト,adult
アット,"@ sign, at sign"
アッパー,"upper, upward, upper (of a shoe), uppercut, upper (drug), stimulant"
アップ,"rise, increase, raising, lifting, going up, upload, posting online, close-up, finishing shooting (a film), upswept hairstyle, being up (in points, games, etc.), being ahead, leading, warm-up, finishing, completion, being over"
アトピー,"atopic, predisposition toward allergies, atopic dermatitis"
アトム,atom
アトラクション,attraction
アトラス,"Atlas, atlas"
アトリエ,"atelier, studio, workshop"
アド,"ad, advertisement, address"
アドバイザー,"adviser, advisor"
アドバイス,advice
アドバンテージ,"advantage, advantage (in soccer, rugby, etc.), advantage rule, advantage (in tennis)"
アドベンチャー,adventure
アドリブ,"ad lib, ad-lib"
アドレス,"address, email address"
アドレナリン,adrenalin
アナ,announcer
アナウンサー,"announcer, presenter, broadcaster, reporter, in-house television talent who does on-location fluff pieces for variety shows"
アナウンス,"announcement (esp. over public-address system), official announcement, formal information release"
アナリスト,analyst
アナログ,"analog, analogue"
アニマル,animal
アニメ,"animation, animated film, animated cartoon, anime"
アニメーション,"animation, animated film, animated cartoon"
アバウト,"approximate (number), rough (calculation), sloppy, lackadaisical, crude"
アパート,"apartment building, apartment block, apartment house, apartment"
アピール,"appeal (e.g. for peace), plea, request, appeal (of something), attractiveness, allure, appeal (to the referee), emphasizing, calling attention to, making a display of, showing off, playing up, touting, using as a selling point, pitch"
アフィリエイト,"affiliate, affiliation"
アフター,"after, socializing (with a host or hostess) outside the club"
アフターヌーン,afternoon
阿弗利加,Africa
アプリ,"app, application"
アプリケーション,"application, application software, application, putting into use, application, request, petition"
アプローチ,"approach (to a problem, issue, etc.), approach (of a long jump, aircrafts flight, etc.), inrun (of a ski jump), approach (to a building, mountain, etc.), approach shot"
アベック,"(romantic) couple, back-to-back (e.g. home runs), dual (e.g. victory), tandem (e.g. flight), double"
アベニュー,"avenue, boulevard"
アマ,amateur
アマチュア,amateur
アミノ酸,amino acid
アミューズメント,amusement
アメダス,"Automated Meteorological Data Acquisition System, AMeDAS"
アメフト,American football
亜米利加,"(United States of) America, United States, US, USA, America (land mass), the Americas"
アメリカ合衆国,United States of America
アメリカ人,American person
アメリカン,"American, American-style (weak) drip coffee"
アメーバ,amoeba
アラカルト,à la carte
アラブ,Arab
アラート,"alert, warning"
アリア,aria
アリバイ,alibi
アリーナ,arena
アルカディア,arcadia
亜爾加里,alkali
アルカリ性,alkalinity
アルコール,"alcohol, alcoholic drink, alcohol, (alcohol-based) hand sanitizer"
アルゴリズム,algorithm
アルツハイマー,Alzheimer (disease)
アルデヒド,aldehyde
アルト,alto
アルバイト,"part-time job, side job, part-time worker"
アルバム,album
アルパイン,alpine
アルファベット,alphabet
アルファベット順,alphabetical order
アルプス,"the Alps, range of high mountains"
アルミ,"aluminum, aluminium"
アルミニウム,"aluminum (Al), aluminium"
アレルギー,"allergy, aversion (to), strong distaste (for)"
アレンジ,"arrangement (of music), adaptation (of a story, recipe, etc.), interpretation, take, arranging (objects, a meeting, etc.), organization"
アロハ,"aloha, aloha shirt"
アロー,arrow
アワー,hour
アンカー,"anchor (of a ship), last runner or swimmer in a relay team, news anchor, news presenter, anchor (clock component), pallet fork, anchor (HTML), link to previous post (e.g. in web forums)"
アングラ,"underground, unconventional, radical, shady"
アングル,angle
アンケート,"questionnaire, survey, poll"
アンコール,encore
アンサンブル,"ensemble, harmony (between performers), coordination, ensemble (of clothes), outfit, suit"
アンソロジー,anthology
アンダー,"under, underexposure, underdevelopment, under par"
アンダーライン,underline
アンチ,"anti-, hater"
アンティーク,antique
アンテナ,"antenna, thing or method used to collect information or opinions"
＆,"and, AND (Boolean operator)"
アンドロイド,"android, Android (mobile operating system)"
アンバランス,"unbalance, imbalance"
アンフェア,unfair
アンプ,"amp, ampere, amplifier"
アンモニア,ammonia
アーキテクチャ,architecture
アーク,arc (esp. electrical)
アーケード,arcade (street)
アース,"earth, ground, earthing, grounding, Earth"
アーチ,"arch, home run"
アーチェリー,archery
アーティスト,"artist, musician"
アート,art
アーバン,urban
アーミー,army
アーム,"arm, automated retroactive minimal moderation, ARMM"
アーモンド,almond (Prunus dulcis)
イエス,Jesus (Christ)
イエロー,"yellow, yellow card"
イオン,ion
英吉利,"United Kingdom, Britain, Great Britain, England"
イクラ,salted salmon roe
イコール,"equal, equivalent, equals sign, equality sign, equals (as in A equals B)"
イスタンブール,Istanbul
以色列,Israel
イスラム,Islam
イスラム教,Islam
イズム,"ism, -ism"
伊太利,Italy
イット,"it, sex appeal"
イデオロギー,ideology
イニング,inning
イノベーション,innovation
イブ,"eve (esp. Christmas Eve), the night before"
イブニング,evening
イベント,event
イメージ,"image (in ones mind), impression, imagining, mental image, (forming a) mental picture, (computer) image, depiction (e.g. of a product), rendition, impression"
イヤホン,"earphones, earphone"
イヤリング,earring
イラク,Iraq
イラスト,"illustration, picture, sketch, drawing, figure"
イラストレーター,illustrator
イリノイ,Illinois
イリュージョン,illusion
イルミネーション,"illumination, decorative lighting"
イレブン,"eleven, team (of eleven players; esp. in soccer)"
ＩＮ,"in (of a ball; in tennis, etc.), inside the line, in, inside, internal, interior, enter here, enter, entrance, (parking) entry, back nine, inside lane (track cycling, speed skating, etc.), check-in time"
インキ,ink
インク,ink
英蘭,England
インサイダー,insider
インスタント,instant
インストラクター,instructor
インスピレーション,inspiration
インスリン,insulin
インセンティブ,incentive
インタビュー,"interview (i.e. television, newspaper, etc.)"
インタラクティブ,interactive
インター,"interchange, international, interview, international school, inter-"
インターナショナル,international
インターネット,Internet
インターン,"intern, internship"
インダストリアル,industrial
吋,inch
インチキ,"cheating, fraud, trickery, deception, fake, bogus, quack, sham, counterfeit"
インテグレーション,integration
インテリ,"intellectual, educated person, intelligentsia"
インテリア,"interior (of building, room, vehicle, etc.), interior design"
インテリジェンス,intelligence
インテリジェント,intelligent
インテル,"Intel (chip manufacturer), interline leads"
インディアナ,Indiana
インディアン,"(American) Indian, Native American, Indian"
インディペンデント,independent
インデックス,index
イントネーション,intonation
イントロ,"intro, introduction"
印度,India
インドア,indoor
印度支那,Indochina
印度尼西亜,Indonesia
インバーター,inverter
インパクト,"impact (on), (strong) impression, effect, influence, impact (of a ball against a racket, bat, club, etc.)"
インフォメーション,information
インフラ,infrastructure
インフルエンザ,"influenza, flu"
インフレ,inflation
インプット,input
インペリアル,imperial
インポート,import
イーグル,"eagle (bird of prey, Accipitridae family)"
イージー,easy
イースター,Easter
イースト,"east, yeast"
ウィジェット,widget
ウィンター,winter
ウィンドウ,"window, window (shop display)"
ウィーク,"week, weak"
ウィークエンド,weekend
ウィークリー,weekly
ウイスキー,"whisky, whiskey"
ウイルス,virus
ウインカー,"(car) turn signal, blinker, indicator"
ウインク,wink
ウイング,"wing (bird, aircraft, etc.), wing (rugby, soccer, etc.), wing (of a building), unbalanced edge (othello)"
ウインタースポーツ,winter sports
ウインド,wind
ウェア,"wear, clothing, dress, ware, goods"
ウェイ,way
ウェイト,"weight, body weight, importance, weight, emphasis, priority"
ウェイトレス,waitress
ウェット,"wet, moist, soft-hearted, tender-hearted, sentimental"
ウェディングドレス,wedding dress
ウェブ,"Web, World Wide Web"
ウェブサイト,"website, web site"
ウェブページ,"web page, webpage"
ウェブログ,"weblog, blog"
ウェルカム,welcome
ウェーブ,"wave (on water), wave (electromagnetic, sound, etc.), wave (in hair), wave (audience), Mexican wave"
ウェールズ,Wales
ウエスタン,"Western (film genre), Western music (North America), country and western music"
ウエスト,"waist, waistline, waist measurement"
ウォッカ,vodka
ウォッチング,watching
ウォン,won (Korean currency)
ウォール街,Wall Street
烏克蘭,Ukraine
ウクレレ,ukulele
ウッド,wood
ウラン,uranium (U)
宇柳貝,Uruguay
ウルトラ,ultra
ウルフ,wolf
ウーマン,woman
ウール,wool
エア,air
エアコン,"air conditioner, air conditioning, aircon"
エアゾール,"aerosol, aerosol spray"
エアバッグ,air bag
エアメール,"airmail, air mail"
エアロビクス,aerobics
ＡＩＤＳ,"acquired immune deficiency syndrome, AIDS"
エイト,eight
エイプリルフール,"April Fools Day, April fool"
エイリアン,alien
エキサイティング,exciting
エキサイト,excite
越幾斯,"extract (of plants, meat, etc.), essence, concentrate, concentrated stock"
エキスパート,expert
エキスポ,"expo, exposition"
エキゾチック,exotic
厄瓜多,Ecuador
エクステンション,extension
エクストラ,"extra (e.g. in a film), supernumerary, extra, surplus, excess, additional, special, extraordinary"
エクスプレス,express
エクスペリエンス,experience
エグゼクティブ,executive
エコノミスト,economist
エコノミー,"economy, economics, finance, economising, saving, economy (class)"
エコロジー,ecology
エコー,"echo, ultrasound scan, echographic examination"
エゴ,"ego, egoism, egoist"
埃及,Egypt
Ｓ,"S, s, south, sulfur, nth year in the Shōwa era (1926.12.25-1989.1.7), small, second, subject, sadist, sadistic, sister (female partner in a homosexual relationship), S rank (usu. top rank on a SABCDEF scale), S grade, best class"
エスカレーター,escalator
エスカレート,escalation
エスコート,escort
エステティック,"beauty treatment, cosmetology, beauty salon"
エステティックサロン,"beauty salon, beauty-treatment clinic"
エステル,ester
エステート,estate
エストニア,Estonia
エストロゲン,estrogen
エスニック,ethnic
エスプリ,"spirit, esprit, wit"
エチケット,"politeness, good manners, courtesy, etiquette, (wine) label"
Ｘ線,X-ray
エッジ,edge
エッセイ,essay
エッセイスト,essayist
エッセンス,"essence, extract"
Ｈ,"H, h, indecent, lewd, sexy, dirty, obscene, (having) sex, nth year in the Heisei era (1989.1.8-2019.4.30), hour, hydrogen (H)"
エッチング,etching
エッフェル塔,Eiffel Tower
エディション,edition
エディター,"text editor, editor"
エディット,edit
エデン,Eden
エナジー,energy
エナメル,enamel
エネ,energy
エネルギッシュ,energetic
エネルギー,"energy, energy, strength, power, stamina, get-up-and-go, energy source, energy resource, food energy, calories"
エバー,ever
エピソード,"episode, anecdote, vignette"
エピック,epic
エプロン,"apron, apron (airport), apron (stage)"
エペ,épée (fencing)
エポック,epoch
ＭＰ３,MP3
エメラルド,emerald
エラー,error
エリア,area
エリート,elite
エルサルバドル,El Salvador
エレガンス,elegance
エレガント,elegant
エレキ,"electricity, electric guitar"
エレキギター,electric guitar
エレクトリック,electric
エレクトロニクス,electronics
エレベーター,"elevator, lift, elevator"
エロ,"erotic, pornographic, obscene, perverted, horny, dirty"
エロス,"eros, sexual desire, physical love, Eros (god), (Platonic) Eros, Eros (asteroid)"
エロチック,erotic
エンジェル,"angel, angel investor"
エンジニア,engineer
エンジニアリング,engineering
エンジョイ,"enjoying, enjoyment"
エンジン,engine
エンターテインメント,entertainment
エンタープライズ,enterprise
エンディング,ending
エントリー,"entry (in an event, competition, etc.), applying for entry, registering to participate, entry (blog, database, etc.), post"
エンド,end
エンドレス,endless
エンブレム,emblem
エージェンシー,agency
エージェント,agent
エース,"ace, ace (of a team), leading player, ace, hotshot, top dog, top hand, wunderkind, ace (serve)"
エール,"yell (of encouragement), cheering (esp. for a school sports team)"
オアシス,"oasis, OASYS (Fujitsu WP system)"
オイディプス,Oedipus
オイル,"oil, petroleum, oil, lubricant, grease, (cooking) oil, (massage) oil, ointment, kerosene, engine oil"
オイルフェンス,oil fence
オカリナ,ocarina (type of flute)
オカルト,occult
オクターブ,octave
オクラ,okra (Abelmoschus esculentus)
オクラホマ,Oklahoma
オケ,orchestra
オスカー,"Oscar, Academy Award"
オセアニア,Oceania
オゾン,ozone
オゾンホール,ozone hole
オタク,"otaku, geek, nerd, enthusiast"
オタワ,Ottawa
牛津,Oxford
ＯＫ,"OK, okay"
オドオド,"timidly, nervously, hesitantly, trembling (with fear), fearfully, anxiously"
オニオン,onion (Allium cepa)
オハイオ,Ohio
オピニオン,opinion
オピニオンリーダー,opinion leader
ＯＦＦ,"(switched) off, off-season, offset, off-road, offline, offside, day off, off (the price), low- (calorie, sugar, etc.), reduced"
オフィシャル,official
オフィス,office
オフサイド,offside
オフシーズン,off-season
オフレコ,off-the-record
オフロード,off-road
オブザーバー,observer
オブジェ,"objet dart, item of artwork, object, curio"
オブラート,"paper-thin wafer (for wrapping powdered medicine, candies, etc.)"
オプション,"option, selecting an option, optional extra, individual item, separate item, service supplied on its own, without accompanying services, option"
オペ,operation
オペラ,opera
オペレッタ,operetta
オペレーション,operation
オペレーター,operator
オムニバス,omnibus
オムレツ,"omelette, omelet"
オラクル,oracle
オラトリオ,oratorio
オランウータン,"orangutan (Pongo pygmaeus), orang-utan, orangutang"
阿蘭陀,"Netherlands, Holland"
オリエンタリズム,orientalism
オリエンタル,oriental
オリエンテーション,orientation
オリエンテーリング,orienteering
オリエント,Orient
オリオン,Orion
オリゴマー,oligomer
オリジナリティー,originality
オリジナル,"original, unique (e.g. product), signature, exclusive, one-of-a-kind, custom"
オリンピック,"Olympics, Olympic Games"
オリーブ色,"olive (colour), olive brown"
オルガン,organ (musical instrument)
オルグ,"organizer, organiser, organizing, organising, organization, organisation"
オルゴール,"music box, musical box"
オレンジ,"orange (fruit, colour)"
オレンジ色,"orange (colour, color)"
ＯＮ,"(switched) on, being on the green (of ones ball)"
オンエア,"on air, on the air"
オンス,ounce
オンパレード,"display, array (of things), succession (of things)"
オンブズマン,ombudsman
オンライン,"online, on the line (of a ball; in tennis, volleyball, etc.)"
オンリー,"only, prostitute attached to a single member of the postwar Occupation Forces"
オーガ,ogre
オーク,oak
オークション,auction
オークス,oaks
オーケストラ,orchestra
オーシャン,ocean
濠太剌利,Australia
オーソドックス,orthodox
オーダー,"order, reservation, order, sequence, order (of magnitude), architectural order"
オーダーメイド,"made-to-order, custom-made"
オーチャード,orchard
オーディオ,"audio, audio equipment (esp. high-end)"
オーディション,audition
オート,"auto, automobile, automatic"
オートキャンプ,"motor home camping, caravanning"
オートクチュール,haute couture
オートバイ,"motorcycle, motorbike"
オートマチック,"automatic, automatic firearm, automatic transmission"
オートメーション,automation
オートロック,"automatic lock, automatic door-locking system"
オード,ode
オードブル,hors doeuvre
オーナー,owner (esp. of a business)
オーバー,"overcoat, exceeding, going over, going beyond, exaggerated, over the top, overdrawn, overreaction, over par, overexposure"
オーバーステップ,overstep
オーバーヒート,"overheating, overexcitement"
オーバーラップ,overlap
オーバーラン,"overrunning (the base), overrun (e.g. on a runway), overshoot"
オーブン,oven
オープニング,"opening, start, launch, opening credits, title sequence, theme song (played during the opening credits of a TV show, etc.)"
オープン,"opening (a new store, golf course, runway, etc.), open, frank, approachable, open-hearted, open (car, collar, tournament, etc.)"
オープン戦,"exhibition game, preseason game"
オープンカー,"open-top car, convertible, soft-top"
オープンセット,open set
オーボエ,oboe
オーラ,aura
オール,"all, (pulling an) all-nighter, staying up all night"
オールスターキャスト,all-star cast
オールドガード,old guard
オールナイト,all-night
オールマイティ,"almighty, highest valued card (e.g. ace of spades), wild card"
オールラウンド,all-round
オーロラ,aurora
カイト,kite
カウチポテト,"couch potato, television addict"
カウボーイ,cowboy
カウンセラー,"counselor, counsellor"
カウンセリング,counseling
カウンター,"counter, counting device, (service) counter (at a bank, store, etc.), counter (at a bar, cafe, etc.), bar, counter-attack (in soccer), counter (in boxing), counterpunch, automatically responding with an upload slot to someone who allows you to download (e.g. in P2P systems)"
カウント,"count, counting, count of balls and strikes, count (after a knock-down in boxing), count (of radioactivity)"
カオス,chaos
カキコ,"post (to a BBS), comment (on a blog)"
カクテル,cocktail
カサカサ,"dry and rough, desiccated, rustling"
カジノ,casino
カジュアル,casual
カスタマー,customer
カステラ,castella (type of sponge cake)
カスバ,"kasbah, casbah, qasbah"
カスピ海,Caspian Sea
カセット,"cassette (tape), game cartridge"
カセットテープ,cassette tape
加答児,catarrh
型録,"catalog, catalogue"
カチカチ,"ticktock, chinking (e.g. of a hammer against rock), knocking, clicking, clacking, clattering, dry and hard, (frozen) stiff, hidebound, die-hard, stubborn, obstinate, bigoted, scared stiff, tense, nervous, frightened"
カチューシャ,"Alice band, horseshoe-shaped hairband made of metal or plastic (often covered with cloth), Katyusha rocket launcher (Soviet)"
カッと,"flaring up, burning hotly, suddenly becoming bright, flying into a rage, losing ones cool, opening suddenly and widely (e.g. eyes, mouth), acting resolutely"
カッター,"cutter, cutting tool, box cutter, utility knife, (tailors) cutter, cutter (boat)"
カット,"cut, cutting, haircut, (continuous) shot (in a film or TV show), illustration (in a book, newspaper, etc.), cut, cut (shot; in tennis, table tennis, etc.), chop, cutting (the ball), cutting off (an outfielders throw), cut (of a deck of cards)"
合羽,raincoat
カップ,"cup (drinking vessel, measure, brassiere, prize, etc.)"
カップリングシュガー,coupling sugar
カップル,couple
カツ,cutlet (usu. crumbed and fried)
カテゴリー,category
カテーテル,catheter
カデンツ,cadence
カトリシズム,Catholicism
加特力,"Catholic, Catholicism, Catholic Church"
カトリック教会,Catholic Church
カトレヤ,cattleya (type of orchid)
カドミウム,cadmium (Cd)
加奈陀,Canada
金糸雀,"canary (esp. the island canary, Serinus canaria)"
カヌー,canoe
カバー,"cover, covering, dust jacket, cover song, cover version, coverage, to compensate for (a loss), to offset (a weakness), to back up"
カフェ,"café, cafe, coffeehouse, hostess bar (serving western alcoholic beverages; Taisho and Showa period)"
カフェイン,caffeine
カフェテリア,cafeteria
カフス,cuffs
カブ,cub
カプセル,capsule
カプラー,coupler
カプリッチオ,capriccio
カマーバンド,cummerbund
カム,cam
カムバック,comeback
カメラ,camera
カメラマン,"photographer, cameraman, camera operator, cinematographer"
カメレオン,chameleon
カヤック,kayak
カラチ,Karachi
カラット,"carat (unit of weight for gemstones and pearls), karat (measure of purity of gold), carat"
カラフル,"colorful, colourful"
カラメル,caramel (browned sugar used as flavouring)
カラー,"color, colour, hair colouring (coloring), political color, political leaning"
カラー,collar
カラーコーディネーター,"color coordinator, colour coordinator"
カラード,"colored (person), coloured, Coloureds (South African ethnic group)"
カリウム,potassium (K)
カリキュラム,curriculum
カリスマ,"charisma (i.e. attractiveness, charm), charisma (i.e. divinely conferred power or talent), charism, charismatic person, someone famous (usu. for their talent), celebrity, idol, icon"
カリフォルニア,California
カリブ海,Caribbean Sea
カルガリー,Calgary
カルキ,"chlorinated lime, calcium hypochlorite, chloride of lime, bleaching powder"
カルシウム,calcium (Ca)
歌留多,"karuta, traditional Japanese playing cards, esp. hyakunin isshu karuta or iroha karuta"
カルダモン,"cardamom, cardamon"
カルチャー,culture
カルチャーショック,culture shock
カルチャーセンター,"cultural center, cultural centre"
カルテ,"patients chart, clinical records, record (e.g. student, equipment maintenance, etc.)"
カルテット,quartet
カルテル,cartel
カルデラ,caldera
カルト,cult
カルバドス,calvados
カルメラ,"honeycomb toffee, sponge toffee, foam candy from heated brown sugar mixed with baking soda"
カレッジ,"college, courage"
カレンシー,currency
カレンダー,"calendar, calender (machine for flattening things)"
咖哩,"curry (esp. Japanese curry), rice and curry"
カレーライス,"curry and rice, rice and curry, curry rice"
カロチン,carotene
カロライナ,Carolina
カロリー,calorie
カローラ,corolla
カンガルー,kangaroo
カンザス,Kansas
カンタータ,cantata
カンツォーネ,canzone
カント,"Kant, cant"
広東,"Guangdong (China), Kwangtung, Guangzhou, Kwangchow, Canton (China)"
カンニング,"cheating (on an examination), cribbing"
カンパ,"fundraising campaign, donation (to a fundraising campaign), contribution, (political) campaign"
カンパニー,"company (i.e. business), company (i.e. group of friends)"
カンフル,"camphor, shot in the arm, stimulus, impetus"
カー,car
カースト,caste
カーソル,cursor
カーチェイス,car chase
カーテン,"curtain, curtains"
カーディガン,cardigan
カート,"(shopping) cart, kart, go-kart"
カートリッジ,cartridge
カード,"card (information, filing, etc.), card (greetings, congratulations, etc.), (Western) playing cards, credit card, debit card, match, game, grouping in a competition or tournament, dough scraper, spatula"
カードゲーム,card game
カーニバル,carnival
カーネーション,carnation (Dianthus caryophyllus)
カーフェリー,car ferry
カーブ,"curve, turn, bend, curveball, curve ball"
カーペット,carpet
カーボン,carbon
カーリング,curling
カール,curl
カーレース,car race
カーン,"kern, Kahn"
ガイ,guy
ガイダンス,guidance
ガイド,"guide, tour guide, conductor, guiding, leading, guidebook"
ガイドブック,guidebook
ガウシアン,Gaussian
ガウン,"gown, elegant dress, dressing gown, bathrobe"
ガシガシ,"boisterously, roughly, briskly"
ガジェット,gadget
瓦斯,"gas (as a fuel), gas (state of matter), poison gas, dense fog, thick fog, gas stove, gas cooker, gas range, gasoline, gas, petrol, flatulence, gas, wind, fart, gassed yarn"
ガスタービン,gas turbine
ガストアルバイター,foreign worker
ガスボンベ,gas cylinder
ガスマスク,gas mask
ガソリン,"gasoline, petrol"
ガソリンスタンド,"gas station, petrol station, filling station"
ガソール,gasohol
ガタガタ,"rattling, clattering, trembling, shivering, quaking, wobbling, swaying, whining, grumbling, griping, bellyaching, rickety, shaky, wobbly, decrepit, ramshackle, broken down"
ガッツ,guts
ガッツポーズ,"triumphant pose (assumed by an athlete, etc.)"
ガット,"gut (used to make tennis rackets, violin strings, etc.), catgut"
ガボット,gavotte
ガム,"chewing gum, gum, rubber"
ガメラン,gamelan (traditional Indonesian music ensemble)
硝子,"glass, pane"
ガラス戸,glass door
ガラス張り,"glazing, fitting with glass, transparency, openness, lack of secrecy, openness to scrutiny"
ガリウム,gallium (Ga)
ガリバー,"Gulliver, preeminent example of its kind"
ガリレオ,Galileo
ガレージ,garage
ガロン,gallon
ガン,gun
ガンガン,"clanging, banging, booming, loudly, throbbing (headache), pounding, splitting, fully, vigorously, hard (e.g. working), flat out"
ガーゼ,gauze
ガーディアン,guardian
ガーデン,garden
ガード,"guarding, guard"
ガードマン,security guard
ガードレール,guardrail
ガール,girl
ガールフレンド,"girl friend, girlfriend"
キウイ,"kiwi (Apteryx spp.), kiwi fruit (Actinidia deliciosa)"
キオスク,kiosk
キス,kiss
キック,kick
キックオフ,kickoff
キックボクシング,"kickboxing, kick-boxing"
キッズビジネス,kids business
キッチン,"kitchen, chitin"
キット,kit
キッド,kid
キネシオロジー,kinesiology
沈菜,"kimchi, kimchee"
キメラ,"chimera (mythological), chimaera, chimera (biological), chimaera"
キャスター,"caster, newscaster, news anchor, anchorman, anchorwoman"
キャスティング,casting
キャスト,"cast (play, film, etc.), cast (e.g. type conversion)"
キャッシュ,cache
キャッシュカード,"cash card, ATM card"
キャッシング,caching
キャッチ,"catch, catching, obtaining (e.g. information), receiving (e.g. radio transmission or phone call), catch, shop tout, puller-in, catching (in swimming and boating), catching the water, catcher, call waiting"
キャッチフレーズ,catchphrase
キャッチャー,catcher
キャッツアイ,"cats-eye (semiprecious stone), cats-eye (light-reflecting road stud)"
キャットウォーク,"catwalk (narrow walkway above a stage, along the side of a bridge, etc.), (indoor) cat playground, cat shelves, cat bridge, catwalk (at a fashion show), runway"
キャップ,"cap (hat), cap (of a bottle, pen, etc.)"
キャップ,"leader, chief, head, captain (of a team)"
キャディー,"caddie, caddy, (CD-ROM) caddy"
キャバレー,cabaret
キャビア,"caviar, caviare"
キャビネット,"cabinet, housing (of equipment)"
キャビン,cabin
キャピタリズム,capitalism
キャピタルゲイン,capital gain
キャブレター,"carburetor, carburettor, carburator, carburetter"
キャプション,"caption, headline, legend, cutline, subtitles (on a film or TV show)"
キャプテン,captain
キャベツ,cabbage (Brassica oleracea)
キャメル,camel
キャラクター,"character, personality, disposition, (fictional) character, letter, character, symbol"
キャラバン,"caravan, group of people touring to sell, investigate, etc."
キャラメル,caramel (soft candy)
キャリア,"carrier, carrier (of a disease-causing agent), carrier (wave), carrier, mobile network operator, pannier rack (on a bicycle), roof rack (on a car), (bicycle) carrier, hand truck, platform truck, trolley, dolly"
キャリア,"career, occupation, personal history, professional experience, government employee who has passed the highest national civil service exam"
キャリー,"carry, carrying"
キャロル,carol
キャンセル,cancellation
キャンディ,"candy, sweets"
キャンドル,candle
キャンバス,"canvas, base"
キャンパス,campus
キャンパー,camper
キャンピング,camping
キャンピングカー,"mobile home, camper-van, RV"
キャンプ,"camp, camping"
キャンプイン,beginning training camp
キャンベラ,Canberra
キャンペーン,"promotion (e.g. sales, etc.), marketing campaign, campaign (election, membership, enrolment, fund-raising, etc.), drive, movement, military campaign, military action, military maneuvers (maneouvers)"
キュリー,curie (unit of radioactivity)
キュレーター,curator
キュロット,culotte
キュー,"cue (billiards, pool), cue stick, cue (music, theatre, etc.)"
キュート,cute
玖馬,Cuba
キョロキョロ,"(looking around) restlessly, (looking) all around, goggling"
キラキラ,"glittering, sparkling, glistening, twinkling"
キラー,"killer, destroyer, annihilator, defeater, seducer, seductress, tempter, temptress"
切支丹,"Christianity (in feudal Japan), Christian"
基督,Christ
キリスト教,Christianity
キリル,Cyrillic
キル,"kill, kill (shot), smash, spike (in volleyball)"
キロ,"kilo-, 1000, kilogram, kilogramme, kilometre, kilometer, kilo-, 1024, 2^10"
瓩,"kilogram, kilogramme"
粁,"kilometer, kilometre"
キロワット,kilowatt
キング,king
キングメーカー,kingmaker
キー,"key (lock, keyboard, piano, clue, island, cay, etc.)"
キーステーション,"key station, flagship station, leading station of a broadcasting network"
キーパー,"goalkeeper, keeper, goalie"
キープ,"to keep (e.g. the lead), to maintain (a standard, situation, etc.), to put aside (for someone), to save (e.g. a seat), to keep (the ball; in soccer, rugby, etc.), to retain possession, to hold service (in tennis), person one is dating while hoping for someone better"
キーホルダー,"keychain, key chain, key ring (encryption)"
キーボード,keyboard
キーポイント,"key point, the key"
キーマン,"keyman, key person (e.g. of a company)"
キール,keel
キーワード,"keyword, key word, clue word, keyword, search term, indexing term"
ギア,gear
ギガ,"giga-, 10^9, gigabyte, GB, data traffic (esp. on mobile phone)"
ギタリスト,guitarist
ギター,guitar
ギフト,gift
ギブアップ,give up
ギプス,"plaster cast, cast, gypsum, plaster of Paris"
ギャグ,"joke, gag"
ギャップ,"gap, difference, disparity, discrepancy, disconnect"
ギャラ,"fee paid to performing artists, etc., appearance fee"
ギャラリー,"gallery, corridor, art gallery, upper gallery (in a theatre), spectators (esp. at a golf tournament)"
ギャル,"gyaru, (young) woman adhering to a fashion style usually characterized by dyed hair and gaudy clothing, gal, girl, young woman"
ギャルソン,"(male) waiter, bellboy"
ギャロッピングインフレ,galloping inflation
ギャング,"gang, gangster"
ギャンブラー,gambler
ギャンブル,gambling
餃子,"gyoza, pot sticker, crescent-shaped pan-fried dumplings stuffed with minced pork and vegetables"
ギラギラ,"glaringly, dazzlingly, blazingly"
希臘,Greece
ギルド,guild
ギロチン,guillotine
クイズ,quiz
クイック,quick
クインテット,quintet
クイーン,queen
クイーンズイングリッシュ,Queens English
科威都,Kuwait
クエーカー,"Quaker, Society of Friends"
クエーサー,"quasar, QSO"
クオリティ,quality
クオート,"quart, quote, quarto"
クッキング,cooking
クッキー,"cookie, biscuit, cookie, browser cookie"
クック,cook
クッション,cushion
クライアント,client
クライシス,crisis
クライマックス,climax
クライミング,climbing
クライムストーリー,crime story
クラウン,"crown, clown"
クラクション,"(car) horn, klaxon"
クラシカル,classical
クラシック,"classical music, classic, classical, classic (work), the classics"
クラシック音楽,classical music
クラス,class
クラスメイト,classmate
クラッカー,"cracker, party popper, cracker, cracker"
クラック,crack
クラッシュ,"crash, kurash (wrestling)"
クラッチ,clutch
クラフト,"craft, crafting, handcrafted article"
倶楽部,"club, fraternity, sorority, clubhouse"
クラブ,"nightclub, sports club, team, (golf) club, clubs (suit)"
クラブ活動,"club activities (usu. clubs in association with a school), extracurricular activities"
クラン,clan
クランク,"crank (mechanism), narrow, crank-shaped road (on a driving school training course), crank (on an early movie camera)"
クランクイン,start (of) filming
クラーク,"clerk, office worker"
クリエイター,"creator, inventor, developer"
クリエーティブ,creative
クリオール,creole
