charcter,definition,pinyin
鷹,"eagle, falcon; Accipiter species (various)",yīng
齊,"even, uniform, of equal length",qí
硙,stone mill; grind; break apart,wéi
禜,sacrifice,yǒng
糢,rice snacks,mó
藠,,jiào
镦,ferrule; castrate,duì
蕂,sesame,shèng
霮,,dàn
沩,name of a river in Shanxi,wéi
颼,sound of wind; blow chilly,sōu
禬,,guì
鴪,swoop,yù
鮨,seasoned rice mixed with fish or vegetables,yì
鱣,sturgeon,zhān
盝,drip,lù
眹,pupil,zhèn
睖,to stare straight ahead,lèng
磫,,zōng
禫,,dàn
繨,a knot (of a rope),da
薦,"offer, present; recommend",jiàn
褱,"to carry in the bosom or the sleeve; to wrap, to conceal",huái
鏏,,wèi
鮁,the bonito,bō
鹓,co-worker,yuān
繟,,chǎn
繺,,shǎi
沲,float,tuó
餦,"candy, pastry",zhāng
篤,"deep, true, sincere, genuine",dǔ
踺,,jiàn
祦,happiness; good fortune good luck; blessing; bliss,wú
篲,broomstick,huì
糰,rice ball,tuán
絙,,huán
纄,,péng
脝,distend,hēng
茊,,zī
菫,"celery, aconite",jǐn
蓞,,dàn
酦,"fermentation, brewing",fā
醾,,mí
锳,,yīng
钶,columbium,ē
鲼,fish,fèn
齄,red sores on nose,zhā
鴨,duck; Anas species (various),yā
鷧,cormorant,yì
㧟,(simplified form of ,kuǎi
祋,,duì
箯,bamboo palanquin,biān
粐,,hu
粦,phosphorus,lín
粭,,he
紃,a cord,xún
脰,the neck,dòu
芃,luxuriant growth,péng
苽,"bulrush, Zizania latifolia",gū
莿,thorn,cì
菆,jungle,zōu
藗,,sù
藧,,huàn
袵,lapel; hidden lapel of coat,rèn
裯,coverlet; bedspread,chóu
褵,bridal veil,lí
襆,hood or cowl,fú
詤,to make wild statements to lie; to misstate; lies falsehood,huǎng
譓,,huì
跊,,mèi
軈,"soon after, soon; almost; no more than; after all",ying
苘,Indian mallow,qǐng
迺,"then, thereupon, only then",nǎi
掭,to manipulate; a pricker for a lamp-wick,tiàn
邇,"be near, be close; recently",ěr
邘,state in Henan province,yú
鄳,,méng
猸,a kind of animal,méi
艴,the countenance changing,fú
鑕,"tungsten, wolfram",zhì
柃,,líng
闒,upper-story door or window,tà
毹,,shū
脶,lines,luó
颋,straight,tǐng
鵀,hoopoe,rén
鶜,,máo
鶟,,tú
鷱,,gāo
鷲,"condor, vulture",jiù
鹍,a bird resembling the crane,kūn
麖,,jīng
䦆,"(simplified form) a big hoe, to eliminate; to uproot; to clear; to dig; to excavate",jué
軎,a brass parts for a cart in ancient China,wèi
稂,grass; weeds,láng
蒞,"reach, arrive; manage",lì
蠆,a kind of scorpion; a sting in the tail,chài
褲,"trousers, pants",kù
佧,,kǎ
紵,ramie; sack cloth,zhù
緌,tassels hanging from hat,ruí
蠾,,zhú
裲,waistcoat,liǎng
郈,place in Shandong province,hòu
鋐,,hóng
餱,"dry goods, dry provisions",hóu
瓞,young melons just forming,dié
驙,,zhān
鯙,Scomberomorus sinensis,chún
眆,indistinct,fǎng
睠,to care for; love,juàn
瞫,look,shěn
矅,,yào
碃,,qìng
禃,,zhí
秔,non-glutinous rice,jīng
穻,,yū
箇,"numerary adjunct, piece; single",gè
籐,"climbing plants, vines, cane",téng
絏,"rope, cable; reins; to tie up, bind",xiè
纕,belt,rǎng
翐,,zhì
耈,old age,gǒu
耎,"weak, pliable, soft, yielding",ruǎn
脷,(Cant.) tongue,lì
膕,hollow,guó
艐,,kè
艷,"beautiful, sexy, voluptuous",yàn
苙,a pig-sty; a kind of medicinal plant,lì
葹,"kind of chrysanthemum, xanthium",shī
蓂,lucky place,míng
蔲,nutmeg,kòu
薋,,cí
蛷,,qiú
蜑,egg,dàn
衂,to be defeated,niù
衋,,xì
袿,gown,guī
訕,"abuse, slander; vilify; ridicule",shàn
訝,"express surprise, be surprised",yà
詠,"sing, hum, chant",yǒng
誳,,qū
諆,to cheat,qī
讱,"hesitate to say, reluctant to speak",rèn
軃,,duǒ
轝,"envy; hate, dislike; resentment",yù
郀,,kū
郵,"postal, mail; post office",yóu
鉐,,shí
鍧,,hōng
鍼,"needle, pin, tack; prick; inject",zhēn
鏦,a short spear,cōng
镵,"spade, trowel",chán
閭,village of twenty-five families,lǘ
闢,"open; settle, develop, open up",pì
陗,a steep hill; precipitous,qiào
陼,islet,zhǔ
韈,"socks, stockings",wà
骫,,wěi
骳,,bèi
骹,(Cant.) a joint,qiāo
髠,shave head as punishment; prune,kūn
髥,beard; mustache,rán
鳒,big-mouthed flounder,jiān
鶡,"crossbill, species of nightingale",hé
龒,dragon,lóng
籂,,shi
翯,glistening plumage; reflection of the sun on water,hè
莚,"bamboo mat; feast, banquet",yán
萗,,cè
転,"shift, move, turn",zhuǎn
鄷,,fēng
靭,"strong and pliable, resilient",rèn
馉,,gǔ
騙,"swindle, cheat out of, defraud",piàn
驊,an excellent horse,huá
鼰,,niàn
綑,"coil, roll, bundle, tie up",kǔn
績,spin; achievements,jī
臘,year end sacrifice; dried meat,là
臛,broth,huò
賜,"give, bestow favors; appoint",cì
贈,"give present; bestow, confer",zèng
蹣,to jump over; to limp,pán
軡,,qián
鋸,a saw; to saw; amputate,jù
錐,"gimlet, awl, drill, auger; bore",zhuī
顎,jaw,è
瞐,,mò
銶,chisel,qiú
钖,frontlet,yáng
矊,,mián
矘,,tǎng
矚,"watch carefully, stare at, focus on",zhǔ
矡,,jué
硽,,yān
磿,,lì
礈,,zhuì
礜,,yù
秲,,zhì
窮,"poor, destitute, impoverished",qióng
竄,"run away; revise, edit; expel",cuàn
笗,,dōng
箘,fine bamboo,jùn
箽,,dǒng
簍,bamboo basket,lǒu
簜,bamboo,dàng
粷,,jú
絨,"silk, cotton, or woolen fabric",róng
絹,kind of thick stiff silk,juàn
緷,,yùn
緻,"delicate, fine; dense",zhì
繉,,hún
繙,"to interpret; to flap, flutter in the wind",fān
罁,a cistern; an earthenware jar of large dimensions; a vat; a crock,gāng
羅,net for catching birds; gauze,luó
羇,inn; lodge; travel,jī
聣,,ní
聰,"intelligent, clever, bright",cōng
脙,,xiū
脛,shinbone; calf of leg,jìng
脻,,jiē
脼,,liǎng
腗,,pí
艜,a long narrow vessel with two masts; (Cant.) a rudder,dài
萊,"goosefoot, weed; fallow field",lái
葘,,zī
葢,"cover, hide, protect",gài
蔥,"scallions, onions, leeks",cōng
藍,blue; indigo plant; surname,lán
藘,madder,lǘ
藝,"art; talent, ability; craft",yì
蘿,type of creeping plant; turnip,luó
蛬,,qióng
螁,,ban
螚,,nài
螤,,zhōng
袇,,rán
袌,,bào
袔,,hè
袦,,nà
袨,,xuàn
覂,to throw a rider,fěng
訃,obituary; give notice of death,fù
訋,,diào
詫,to brag; exaggerated; to wonder at,chà
詬,"abuse, scold, berate, insult",gòu
詮,"explain, expound, comment on",quán
詻,orders,è
誠,"sincere, honest; true, real",chéng
謬,"error, exaggeration; erroneous",miù
譃,,xū
譄,,zēng
譯,translate; decode; encode,yì
譽,"fame, reputation; praise",yù
賰,"plentiful, wealthy or rich; handsome (pay, gifts, etc.)",chǔn
趮,"easily provoked, hasty; fierce, cruel",zào
蹱,to stagger along; to fall,zhōng
軙,a Chinese family name to arrange; to display wheel,chén
軠,,rèn
輩,"generation, lifetime; class",bèi
辭,"words, speech, expression, phrase",cí
遜,"humble, modest; yield",xùn
鄧,surname,dèng
鄫,,zēng
鄿,county in Xinjiang province,jī
酀,,yàn
釡,"cauldron, pot, kettle",fǔ
釢,,nǎi
鉃,,shì
鍍,"plate, coat, gild",dù
鍎,,tú
鎖,"lock, padlock; shackles, chains",suǒ
闃,"alone; quiet, still",qù
鞗,reins,tiáo
韱,wild onions or leeks,xiān
頹,"ruined, decayed; disintegrate",tuí
願,"desire, want; wish; ambition",yuàn
顳,the temporal bone,niè
餁,cooked food; cook until well done,rèn
餃,stuffed dumplings,jiǎo
餵,"to feed, to raise",wèi
馮,surname; gallop; by dint of,féng
馳,go quickly or swiftly; hurry,chí
駛,"sail, drive, pilot; fast, quick",shǐ
騎,ride horseback; mount; cavalry,qí
騺,heavy horse; horse unable to move because of twisted leg; plodding,zhì
鯚,,jì
鰟,,fáng
鱉,turtle,biē
鳛,"the weather or dojo loach, Misgurnus anguillicaudatus",xí
鴟,"kite, horned owl; wine cups",chī
鴮,,wū
鴲,,zhī
鴷,a woodpecker,liè
鷷,,zūn
鸀,,chǔ
麎,,chén
麡,,qí
麧,,hé
鼇,huge sea turtle,áo
鼞,,tāng
鼤,,wén
齺,,zōu
齽,,jìn
龑,high and bright,yǎn
裏,"inside, interior, within",
䦶,(simplified form of ,zhèng
䲡,(simplified form ,qiū
砮,arrow-tip,nǔ
綟,,lì
緜,"cotton wad; wool; soft, downy",mián
繑,,qiāo
纑,to soften hemp by boiling; thread,lú
罈,"an earthenware jar, a jug",tán
蠙,oyster,pín
輴,sled,chūn
酨,,zài
鏂,,ōu
駹,black horse with a white face,máng
鎪,to engrave (metal of wood),sōu
瞕,cataract in the eye,zhàng
窪,hollow; pit; depression; swamp,wā
肻,,kěn
蠔,oyster,háo
鐰,,qiāo
綵,varicolored silk; variegated,cǎi
鮰,a small sturgeon found in the Yangzi; catfish,huí
鳾,general term for a group of small birds,shī
虰,,dīng
驎,,lín
荬,a plant name,mǎi
鑛,"mine; mineral, ore",kuàng
犏,yak-ox,piān
鞧,a leather strap,qiū
鮋,,yóu
鰷,minnow,tiáo
鶲,,wēng
盕,,fàn
盩,callus,zhōu
盻,glare; stare,xì
眖,,kuàng
砛,,jin
硈,,qià
禢,surname,tà
禥,,qí
窼,,zhāo
竏,kiloliter,qian
筈,arrow end,kuò
筽,,o
篴,bamboo flute; whistle,dí
籆,,yuè
籇,,háo
紏,,tǒu
肣,,hán
胑,the limbs; the upper arm; wings of birds; legs of animals,zhī
臮,,jì
苲,,zhǎ
蒃,,zhuàn
虗,,xū
蜌,,bì
跘,,pán
鞦,leather stap; swing,qiū
驄,horse with a bluish white color,cōng
鷭,,fán
鸼,,zhōu
鹐,"to peck, as birds",qiān
矄,,xūn
魖,,xū
鴐,,gē
薀,,yùn
謏,"scold, censure; lead people toward virtuous ways; small, little",xiǎo
脎,an organic compound,sà
締,"tie, join, connect; connection",dì
聧,,kuī
脜,,yǒu
艤,to moor a boat to the bank,yǐ
荖,betel pepper,lǎo
蕌,,lěi
蠷,,qú
褏,sleeve; ample flowing robes,xiù
觽,,xī
踫,"collide, bump into",pèng
蹽,,liāo
軉,,yù
軛,"yoke, collar; to restrain",è
墚,mountain range,liáng
搌,to wipe tears; to bind,zhǎn
擗,to beat the breast,pǐ
哳,,zhā
鋻,,jiàn
楗,"bar of door, bolt of lock",jiàn
韂,a saddle-flap. trappings,chàn
飆,"whirlwind, stormy gale",biāo
饏,,dàn
耥,farm tool,tāng
髼,,péng
篼,mountain sedan chair; (Cant.) a simple container without a cover,dōu
鬑,"long, flowing hair",lián
醑,to strain spirits,xǔ
鴧,,ròng
眜,,mò
瞷,,jiàn
磦,,biāo
礨,,lěi
祃,a sacrifice at the beginning of a military campaign,mà
祲,ominous or sinister spirit; vigor,jìn
祻,,gù
窊,"pit, vault; store in pit; (Cant.) ",wā
簥,a large pipe; a farm tool,jiāo
籲,appeal; request; implore,yù
縢,"bind, tie up, restrain; cord",téng
繌,,sha
繒,silk fabrics; surname,zēng
聜,,dǐ
胔,rotten meat; bones of dead animals,zì
胾,minced meat; to cut meat into pieces,zì
脨,,cù
膼,,zhuā
艕,two boats fastened side by side,bàng
苼,,shēng
莻,late,gòng
蓨,,tiáo
蓵,,jié
蓾,,lǔ
藦,edible mushrooms,mò
虀,minced pickles; leeks; mix; salt,jī
蚈,,qiān
蛡,,yì
蛻,"molt, exuviate, shed",tuì
蝝,the larva of locust,yuán
蝹,,yūn
蟿,acrida chinensis,qì
衼,,zhī
褦,"stupid, dull, ignorant, doltish; (Cant.) to tie up, bind",nài
襶,ignorant; naive; unsophisticated,dài
覐,"to sleep; to realize, feel",jué
詯,,huì
誴,,cóng
諓,flattering,jiàn
謧,,lí
謪,to consult; to deliberate; commerce,shāng
譁,"noise, uproar; clamor, hubbub",huá
貤,"steps, grade, strata; series",yí
赪,deep red,chēng
踖,"trample on, tread on",jí
軆,"body; group, class, body, unit",tǐ
輈,shaft,zhōu
鄛,,cháo
鄡,,qiāo
醖,liquor,yùn
屺,a hill with trees or grass-- some give the opposite meaning,qǐ
鍑,,fù
鏉,,shòu
雊,the crow of a male pheasant,gòu
顓,"good, honest; simple; respectful",zhuān
飐,sway in wind,zhǎn
稆,wild grain,lǚ
駳,,dàn
騽,,xí
骍,"red, brown, bay; neat, harmonious",xīng
筻,place name in Hunan province,gàng
魱,,hú
舣,to moor a boat to the bank,yǐ
鮾,,něi
鯋,shark,shā
鯏,dialect name for a (bad tasting) blood clam,li
鶃,hawk; Ardea cinerea,yì
鶫,thrush; Turdus naumanni,dong
齛,,xiè
矙,view,kàn
絾,,chéng
袗,unlined garments; hem of garment,zhěn
襬,lower part of a robe,bǎi
漤,marinate in salt,lǎn
闕,watch tower; palace,què
鬐,,qí
鲾,,bī
鴾,a crested ibis,móu
稭,"stalk of grain, rice, corn, hemp",jiē
籄,a basket for carrying earth,kuì
聺,,qié
褹,,yì
訟,"accuse; argue, dispute; litigate",sòng
鏕,,lù
齆,stuffed nose,wèng
盫,,ān
矎,,xuān
礋,,zé
窌,"pit, vault; store in pit",jiào
簼,,lóng
糴,purchase grains; store grain,dí
纴,"weave, lay warp",rèn
罵,"accuse, blame, curse, scold",mà
翚,,huī
耰,toothless rake for drawing earth over newly sown grain,yōu
艧,,huò
藇,fine,xù
虖,to cry; to shout; to howl,hū
蚖,,yuán
蜎,mosquito larva,yuān
蜨,butterfly,dié
蠭,"bees, hornets, wasps",fēng
詟,fear; envy; loquacious,zhé
詵,"inquire, question; numerous",shēn
譔,"eulogize; compose, write",zhuàn
豭,"boar, male pig",jiā
趙,surname; ancient state,zhào
趬,,qiāo
阢,,wù
圊,rest room,qīng
醃,"marinate, pickle; salt",yān
録,copy,lù
鍮,brass,tōu
鍸,"food, gruel",hú
闚,flash; flashing; steal look,kuī
阤,hill,zhì
霫,heavy rain,xí
鞎,,hén
韗,,yùn
鬖,wild hair,sān
鳠,,hù
鴼,,luò
鷇,"chicks, fledglings",kòu
黇,,tiān
黡,"mole, scar, blemish",yǎn
齣,"act; stanza; time, occasion",chū
盞,"small cup or container; classifier for lamps, etc.",zhǎn
眅,inlay; border,pān
磈,,wěi
磳,,zēng
穫,"harvest, cut grain",huò
窅,"far, deep; sunken eyes; sad",yǎo
窾,hole; hallow; empty,kuǎn
筭,"an ancient device for working with numbers; count, calculate, figure",suàn
箣,,cè
簃,side room,yí
簺,,sài
粴,,lǐ
糦,,xī
絟,,quán
緺,,guā
縩,,cài
罍,large earthenware wine jar,léi
翣,feathers used decorate coffin; large wooden fan,shà
聟,son-in-law; husband,xù
肊,,yì
肙,a small worm; to twist; to surround; empty,yuàn
肞,,chā
臞,,qú
苶,weary; tired,nié
菭,,tái
葖,,tū
蕳,agueweed,jiān
蚒,"(Cant.) an edible snake, lizard",tóng
蜪,,táo
蝕,nibble away; erode; eclipse,shí
蠜,grasshopper,fán
袕,,xué
裋,cotton clothes of a boy servant,shù
裩,,kūn
褌,"trousers, pants, shorts, drawers",kūn
褎,sleeve; ample flowing robes,xiù
襫,raincoat,shì
覈,"investigate, consider, examine",hé
觭,one turning up and one turning down,jī
訆,,jiào
訏,"boast, exaggerate; great, broad",xū
訽,blame,gòu
詨,"kind of cicada, cosmopsaltria",xiào
譻,,yīng
诇,to spy; to give information; shrewd,xiòng
貑,,jiā
跱,stop,zhì
坶,,mǔ
躘,to walk,lóng
輖,,zhōu
轇,"complicated, confused; dispute",jiāo
轋,,hún
轕,great array of spears and chariots,gé
迒,,háng
郘,,lǘ
醄,,táo
醼,,yàn
鋋,,chán
鏁,variant of ,suǒ
鏭,,xī
鐄,bell,huáng
鑣,"bit, bridle; ride",biāo
鑷,"tweezers, forceps, pincers",niè
辁,cart wheel with no spokes,quán
阸,distress; difficulty,è
牿,,gù
鞝,the piece of leather used for soles on Chinese shoes. a patch,shàng
頞,(nose) bridge,è
瞵,to stare at,lín
饤,display food for show only; sacrifice,dìng
駃,gallop,jué
駉,big,jiōng
騠,"a horse, mule",tí
驡,,lóng
髪,hair,fà
鬚,"beard, whiskers; whisker-like",xū
鬿,,qí
鮌,,gǔn
鯁,"fish bones; honest, upright",gěng
鱻,"fresh, new, delicious; rare, few",xiān
鶚,"osprey, fishhawk; Pandion haliaetus",è
鷫,turquoise kingfisher,sù
鹖,"crossbill, species of nightingale",hé
磩,,qì
磭,,chuò
稌,glutinous rice,tú
穃,,rong
綂,"govern, command, control; unite",tǒng
膥,(Cant.) eggs of birds or reptiles; testicles,chūn
膱,,zhí
臿,to separate the grain from the husk,chā
艎,fast boat,huáng
苃,,yǒu
茍,"to be circumspect, cautious in ones behaviour (distinguish DKW 30790 gou3)",jì
蒟,betel pepper; Amorphophallus konjac,jǔ
藣,,bēi
虈,,xiāo
蜐,,jié
訅,,qiú
詭,"deceive, cheat, defraud; sly",guǐ
讈,,lì
貿,"trade, barter; mixed; rashly",mào
趷,to jolt; (Cant.) to raise up; block,kē
蹌,walk rapidly,qiāng
蹹,to tread on; to stamp; to walk,tá
鈰,cerium,shì
銑,mill,xiǎn
鋫,,lí
鍔,"high, lofty; edge of knife",è
鐨,fermium,fèi
餉,rations and pay for soldiers,xiǎng
騛,,fēi
鯛,"pagrosomus major, porgy",diāo
鰤,a yellowtail (fish),shī
鳳,male phoenix; symbol of joy,fèng
鵂,"horned owl, scops chinensis; bird of ill omen",xiū
鶢,a bird which frequents the sea-shore,yuán
鶳,,shī
黋,,kuàng
齢,age; years,líng
磚,"tile, brick",zhuān
緲,"indistinct, dim; minute; distant",miǎo
繳,"deliver, submit; hand over",jiǎo
聝,to cut the left ears of the slain,guó
膴,fine,hū
芵,,jué
藫,,tán
覓,seek; search,mì
誕,"to bear children, give birth; birth",dàn
誡,"warn, admonish; warning",jiè
貎,lion; wild beast; wild horse,ní
賄,"bribe; bribes; riches, wealth",huì
跰,,pián
踥,,qiè
迆,wind; walk out of straight path,yí
逕,"pass by, approach; direct",jìng
逤,,suò
鏢,"dart, spear, harpoon; escort",biāo
鏤,"carve, inlay, engrave, tattoo",lòu
鑄,"melt, cast; coin, mint",zhù
鑽,"drill, bore; pierce; diamond",zuān
頷,"chin, jowl; give nod",hàn
鴉,"crow, raven; Corvus species (various)",yā
鴰,the crow,guā
麅,a small spotted deer found in north China,páo
礱,"grind, sharpen; mill",lóng
祿,"blessing, happiness, prosperity",lù
缷,lay down; retire from office,xiè
虙,,fú
齗,gums (of the teeth); to dispute,yín
裓,,gé
铹,lawrencium (Lr),láo
睙,,liè
矟,lance,shuò
硣,,xiāo
磹,,tán
礀,,jian
禮,social custom; manners; courtesy; rites,lǐ
秶,,zī
窇,,báo
竷,,kǎn
笣,,bāo
篃,,mèi
簬,,lù
簯,,qi
粓,,gān
粶,,lù
紋,"line, streak, stripe; wrinkle",wén
紓,"loosen, relax, relieve; extricate",shū
絞,"twist, wring; intertwine; winch",jiǎo
緹,"reddish color, red, brown",tí
縷,"thread; detailed, precise",lǚ
縼,,xuàn
繆,"wind around, bind; prepare",móu
繕,"repair, mend; rewrite, transcribe",shàn
繚,"wind round, rap around, bind",liáo
繞,entwine; wind around; surround,rào
绤,cloth,xì
罆,"jar, jug, pitcher, pot",guàn
羈,"halter; restrain, hold, control",jī
翆,color green; kingfisher,cuì
翑,,qú
聵,deaf,kuì
脵,"thighs, haunches, rump; share",gǔ
臄,palate,jué
茽,,zhòng
莊,"village, hamlet; villa; surname",zhuāng
莢,pods of leguminous plants; pods,jiá
莵,dodder; creeper,tu
菕,,lún
蓛,,cè
蓷,"motherwort, various plants of the genus Leonurus, such as L. sibiricus and L. artemesia",tuī
蓸,,cáo
蔘,ginseng; huge,shēn
蔞,Artemisia stelleriana,lóu
蕘,"fuel, firewood; stubble",ráo
蕼,,sì
薔,rose,qiáng
藖,,xián
藢,,zhǐ
藶,a kind of plant,lì
蛢,,píng
蟯,worms,náo
蠄,(Cant.) ,qín
蠈,,zéi
蠎,"python, boa constrictor",mǎng
蠣,oyster,lì
襪,"socks, stockings",wà
覙,explain in detail,luó
訑,"deceive, cheat; arrogant",yí
訣,"take leave of, bid farewell",jué
詰,"question, interrogate",jié
詸,,mí
誰,who? whom? whose? anyone?,shuí
諏,"consult, confer; select, choose",zōu
諛,"flatter, truckle",yú
諮,"consult, confer; communicate in",zī
諱,conceal; shun; regard as taboo,huì
謥,,còng
謨,"scheme, plan; plan; be without",mó
譫,talkative; incoherent talk,zhān
貋,,hàn
貛,badger,huān
貫,a string of 1000 coins; to go through,guàn
賓,"guest, visitor; surname; submit",bīn
賞,"reward, grant, bestow; appreciate",shǎng
贁,to defeat to spoil or be spoiled; to corrupt or be corrupted,bài
贂,,chěn
贉,earnest money; silk label on books,dàn
趤,,dàng
趯,jump,tì
趶,,kù
跔,numb feet; to limp,jū
踴,"leap, jump",yǒng
蹆,(Cant.) to move in a straight line,tuǐ
塥,,gé
輝,"brightness, luster, brilliance",huī
輰,,yáng
輿,"cart, palanquin; public opinion",yú
轂,hub of wheel,gǔ
邁,take a big stride; pass by,mài
邼,,kuāng
釟,,bā
釠,,luàn
釣,"fish; fishhook; tempt, lure",diào
鈉,"sodium, natrium; sharpen wood",nà
鈴,bell,líng
鈺,rare treasure,yù
鉂,,shǐ
銊,,xù
銘,"inscribe, engrave; unforgettably",míng
鋤,hoe; eradicate,chú
鋭,sharp,ruì
錃,,bēi
錈,to bend iron,juǎn
漭,vast; expansive,mǎng
錨,anchor,máo
鍤,"spade, shovel; marking pin",chā
鏆,,guàn
鐖,,jī
鐧,kind of rapier,jiān
鐳,radium,léi
鑱,"spade, trowel",chán
鑾,bells hung on horse; bells hung,luán
镃,hoe; mattock,zī
閬,"high door; high gate; high, lofty",làng
閾,"threshold; separated, confined",yù
閿,name of a district in Henan province,wén
陜,narrow; mountain pass,xiá
陝,mountain pass; Shaanxi province,shǎn
霠,,yīn
鞏,"bind; firm, secure, strong",gǒng
鞖,,suī
韨,a leather knee-pad worn during sacrifices,fú
韼,,péng
韽,,ān
頒,"confer, bestow; publish, promulgate",bān
頤,cheeks; jaw; chin; rear; to nourish,yí
顛,"top, peak, summit; upset",diān
飳,,tǒu
飸,,tāo
餆,,yáo
館,public building,guǎn
饅,steamed bread; steamed dumplings,mán
駐,"to be stationed at, reside at; to stop",zhù
駡,"accuse, blame, curse, scold",mà
駷,,sǒng
騁,"gallop horse; hasten, hurry",chěng
騫,"raise, hold high; fly, soar",qiān
騷,"harass, bother, annoy, disturb, agitate; sad, grieved",sāo
騼,,lù
髕,kneecap,bìn
魜,mermaid; manatee,rén
鰫,,yóng
鱗,fish scales,lín
鱽,the mullet,dāo
鲬,a flathead (fish),yǒng
鴻,species of wild swan; vast,hóng
鶆,,lái
鶊,oriole,gēng
鷳,"the silver pheasant, Lophura nycthemera",xián
鷿,a kind of bird resembling the duck; much smaller,pì
鸁,,luó
麞,"roebuck, Moschus chinloo",zhāng
鼏,cover of tripod caldron,mì
鼜,,qì
鼫,marmot; squirrel,shí
齦,gums,kěn
䦂,(simplified form of ,shàn
䲟,(simplified form of ,yìn
䴓,general term for a group of small birds,shī
䴕,a woodpecker,liè
䶮,,yǎn
盬,salt pit; leisure; pot; drink,gǔ
祅,"calamities, disasters; ormazda",yāo
禡,a sacrifice at the beginning of a military campaign or on the 2nd and 16th day of the lunar month,mà
禭,,suì
糱,fermenting grain; yeast,niè
縂,"collect; overall, altogether",zǒng
蠥,,niè
軷,sacrifice,bá
鄮,,mào
釱,fetters; to fetter,dì
銦,indium,yīn
錣,armor neckplates,zhuì
鑢,"file, rasp; file; polish; (Cant.) to cut",lǜ
钑,spear,jí
饟,rations and pay for soldiers; dried rice,xiǎng
鯅,,shān
鼊,,bì
䴖,a kind of water bird,jīng
簫,"musical instrument like pan-pipes, bamboo flute",xiāo
粛,pay respects; reverently,sù
粻,provisions,zhāng
饈,"food, meal; eat; offer",xiū
盌,"bowl, basin, cup",wǎn
瞂,,fá
鋅,zincum,xīn
靮,bridle,dí
盨,,xǔ
県,"county, district, subdivision",xiàn
箥,,bǒ
簕,(Cant.) thorn,lè
臖,,xìng
鎔,"fuse, melt, smelt; mold",róng
鏐,pure gold,liú
顔,"face, facial appearance",yán
盿,,mín
萵,lettuce,wō
蔊,,hǎn
覥,ashamed,tiǎn
貲,property; wealth; to count,zī
驢,"donkey, ass",lǘ
鶸,light yellowish-green,ruò
磑,stone mill; grind; break apart,wéi
窎,deep; distant,diào
詒,"bequeath, pass on to future generations",yí
鉔,,zā
鏱,,zhang
隺,a bird flying high ambition,hú
饜,,yàn
荘,"village, hamlet; villa; surname",zhuāng
蒻,rushes,ruò
蔴,hemp; sesame; applied to other plants furnishing textile fibres,má
裛,to wrap and bind; damp; a book bag,yì
鈙,,qín
鎋,the linch-pin of a wheel to govern or control the noise of a barrow,xiá
鑀,ionium,ài
髴,disheveled hair; similar to,fú
鴓,,miè
鸴,"oriental bullfinch, weaver bird; Pyrrhula species (various)",xué
黿,"large turtle, sea turtle",yuán
秹,,rěn
茢,sedges; rushes,liè
蘁,,wù
蚑,tip-toe,qí
鏻,phosphonium,lín
霤,drip; rain-water catcher,liù
霩,,kuò
頺,,tuí
餚,prepared meat; food,yáo
鯂,,su
籔,bamboo basket,sǒu
蕁,nettle,qián
蘘,a kind of wild ginger,ráng
雑,"mixed, blended; mix, mingle",zá
鬶,,guī
鯵,,shēn
鰧,,téng
鱂,name of fish,jiāng
鳂,name of fish,wēi
鵟,,kuáng
盠,,lí
盳,,wàng
盽,,fēng
眃,,yún
眏,,yāng
睧,dull vision,hūn
硄,,kuāng
碔,1/2 pr stone,wǔ
碦,,kè
碸,an organic compound,fēng
磃,,sī
礘,,è
礮,"ancient ballista for throwing heavy stones a cannon, a gun",pào
祘,to calculate,suàn
禤,surname Xuan,xuān
秌,(same as ,qiū
秙,,kù
秢,,líng
稧,,xì
稬,"glutinous, sticky",nuò
稲,"rice growing in field, rice plant",dào
稸,,xù
穜,rice,zhǒng
竒,"strange, unusual, uncanny, occult",qí
筶,,gào
篬,,qiāng
籒,,zhòu
籜,"bamboo sheath, bamboo shoots",tuò
籞,a fence,yù
籶,,shēn
糂,,sǎn
糉,dumpling made of glutinous rice,zòng
綡,,liáng
綶,,guǒ
緄,cord; woven belt; hem; hemming,gǔn
緗,light-yellow color,xiāng
緼,variant of ,yùn
縁,hem,yuán
縋,climb down rope; hang by rope,zhuì
縞,white raw silk,gǎo
繤,edit,zuǎn
繧,,yun
繬,,sè
纃,,qí
纉,,zuǎn
纒,"wrap, wind around; tie, bind",chán
纗,,zuī
罯,,ǎn
羀,fishing trap,liǔ
耴,,yì
肍,,qiú
腨,,shuàn
膗,ugly and fat; too fat to move,chuái
膟,fat,lǜ
舦,(Cant.) rudder,tài
艊,,bó
菄,,dōng
葾,(Cant.) a bad smell,yuān
蒕,,yūn
蒘,,rú
蒧,,diǎn
蓃,,sōu
蓆,"straw mat, mat",xí
蔱,,shā
蘔,,jiōng
蟨,the Siberian jerboa,jué
蠪,,lóng
襖,"outer garments; coat, jacket",ǎo
誇,"exaggerate; brag, boast; flaunt",kuā
謟,"flatter; suspect, be uncertain",tāo
讙,"cheer; noise, noisy",huān
谽,a mouth or opening,hān
踨,,zōng
躉,sell or buy wholesale; store,dǔn
躱,hide,duǒ
輗,the cross-bar at the end of a carriage pole; linchpin of a large carriage,ní
釔,yttrium,yǐ
鋕,engrave,zhì
鎚,"hammer, mallet; club",chuí
韆,swing,qiān
鯶,,hǔn
鳋,carp,sāo
鹒,oriole,gēng
